window,subject,status,hits,count,rate
30,current,OOS,0,1,0.03333333333333333
30,current,OOS,1,6,0.2
30,current,OOS,2,14,0.4666666666666667
30,current,OOS,3,8,0.26666666666666666
30,current,OOS,4,1,0.03333333333333333
30,current,OOS,5,0,0.0
30,baseline,OOS,0,0,0.0
30,baseline,OOS,1,7,0.23333333333333334
30,baseline,OOS,2,17,0.5666666666666667
30,baseline,OOS,3,4,0.13333333333333333
30,baseline,OOS,4,2,0.06666666666666667
30,baseline,OOS,5,0,0.0
30,candidate_a,OOS,0,0,0.0
30,candidate_a,OOS,1,6,0.2
30,candidate_a,OOS,2,14,0.4666666666666667
30,candidate_a,OOS,3,6,0.2
30,candidate_a,OOS,4,4,0.13333333333333333
30,candidate_a,OOS,5,0,0.0
30,candidate_c,RESEARCH_PROTOTYPE,0,0,0.0
30,candidate_c,RESEARCH_PROTOTYPE,1,7,0.23333333333333334
30,candidate_c,RESEARCH_PROTOTYPE,2,17,0.5666666666666667
30,candidate_c,RESEARCH_PROTOTYPE,3,4,0.13333333333333333
30,candidate_c,RESEARCH_PROTOTYPE,4,2,0.06666666666666667
30,candidate_c,RESEARCH_PROTOTYPE,5,0,0.0
60,current,OOS,0,3,0.05
60,current,OOS,1,11,0.18333333333333332
60,current,OOS,2,27,0.45
60,current,OOS,3,16,0.26666666666666666
60,current,OOS,4,3,0.05
60,current,OOS,5,0,0.0
60,baseline,OOS,0,2,0.03333333333333333
60,baseline,OOS,1,15,0.25
60,baseline,OOS,2,30,0.5
60,baseline,OOS,3,9,0.15
60,baseline,OOS,4,4,0.06666666666666667
60,baseline,OOS,5,0,0.0
60,candidate_a,OOS,0,1,0.016666666666666666
60,candidate_a,OOS,1,14,0.23333333333333334
60,candidate_a,OOS,2,27,0.45
60,candidate_a,OOS,3,13,0.21666666666666667
60,candidate_a,OOS,4,5,0.08333333333333333
60,candidate_a,OOS,5,0,0.0
60,candidate_c,RESEARCH_PROTOTYPE,0,2,0.03333333333333333
60,candidate_c,RESEARCH_PROTOTYPE,1,15,0.25
60,candidate_c,RESEARCH_PROTOTYPE,2,30,0.5
60,candidate_c,RESEARCH_PROTOTYPE,3,9,0.15
60,candidate_c,RESEARCH_PROTOTYPE,4,4,0.06666666666666667
60,candidate_c,RESEARCH_PROTOTYPE,5,0,0.0
90,current,OOS,0,6,0.06666666666666667
90,current,OOS,1,18,0.2
90,current,OOS,2,40,0.4444444444444444
90,current,OOS,3,23,0.25555555555555554
90,current,OOS,4,3,0.03333333333333333
90,current,OOS,5,0,0.0
90,baseline,OOS,0,4,0.044444444444444446
90,baseline,OOS,1,23,0.25555555555555554
90,baseline,OOS,2,38,0.4222222222222222
90,baseline,OOS,3,19,0.2111111111111111
90,baseline,OOS,4,6,0.06666666666666667
90,baseline,OOS,5,0,0.0
90,candidate_a,OOS,0,4,0.044444444444444446
90,candidate_a,OOS,1,21,0.23333333333333334
90,candidate_a,OOS,2,35,0.3888888888888889
90,candidate_a,OOS,3,25,0.2777777777777778
90,candidate_a,OOS,4,5,0.05555555555555555
90,candidate_a,OOS,5,0,0.0
90,candidate_c,RESEARCH_PROTOTYPE,0,4,0.044444444444444446
90,candidate_c,RESEARCH_PROTOTYPE,1,23,0.25555555555555554
90,candidate_c,RESEARCH_PROTOTYPE,2,40,0.4444444444444444
90,candidate_c,RESEARCH_PROTOTYPE,3,16,0.17777777777777778
90,candidate_c,RESEARCH_PROTOTYPE,4,7,0.07777777777777778
90,candidate_c,RESEARCH_PROTOTYPE,5,0,0.0
180,current,OOS,0,16,0.08888888888888889
180,current,OOS,1,45,0.25
180,current,OOS,2,71,0.39444444444444443
180,current,OOS,3,38,0.2111111111111111
180,current,OOS,4,10,0.05555555555555555
180,current,OOS,5,0,0.0
180,baseline,OOS,0,13,0.07222222222222222
180,baseline,OOS,1,43,0.2388888888888889
180,baseline,OOS,2,67,0.37222222222222223
180,baseline,OOS,3,46,0.25555555555555554
180,baseline,OOS,4,10,0.05555555555555555
180,baseline,OOS,5,1,0.005555555555555556
180,candidate_a,OOS,0,15,0.08333333333333333
180,candidate_a,OOS,1,47,0.2611111111111111
180,candidate_a,OOS,2,65,0.3611111111111111
180,candidate_a,OOS,3,43,0.2388888888888889
180,candidate_a,OOS,4,10,0.05555555555555555
180,candidate_a,OOS,5,0,0.0
180,candidate_c,RESEARCH_PROTOTYPE,0,11,0.06111111111111111
180,candidate_c,RESEARCH_PROTOTYPE,1,45,0.25
180,candidate_c,RESEARCH_PROTOTYPE,2,69,0.38333333333333336
180,candidate_c,RESEARCH_PROTOTYPE,3,44,0.24444444444444444
180,candidate_c,RESEARCH_PROTOTYPE,4,10,0.05555555555555555
180,candidate_c,RESEARCH_PROTOTYPE,5,1,0.005555555555555556
